titles,platforms,metascore,userscore,genre,date
Streets of Rage 4: Mr. X Nightmare,PC,88.0,tbd,action,"July 15, 2021"
Sniper Elite VR,PC,67.0,7.1,action,"July 8, 2021"
Sniper Elite VR,PlayStation 4,75.0,tbd,action,"July 8, 2021"
Boomerang X,PC,81.0,6.6,action,"July 8, 2021"
Boomerang X,Switch,78.0,6.3,action,"July 8, 2021"
Space Jam: A New Legacy - The Game,Xbox One,51.0,tbd,action,"July 1, 2021"
Space Jam: A New Legacy - The Game,Xbox Series X,55.0,tbd,action,"July 1, 2021"
Curved Space,PC,60.0,tbd,action,"June 29, 2021"
Curved Space,PlayStation 5,56.0,tbd,action,"June 29, 2021"
Curved Space,Xbox Series X,75.0,tbd,action,"June 29, 2021"
Cyber Hook,Switch,75.0,tbd,action,"June 24, 2021"
Alex Kidd in Miracle World DX,PC,67.0,,action,"June 22, 2021"
Alex Kidd in Miracle World DX,PlayStation 4,62.0,6.4,action,"June 22, 2021"
Alex Kidd in Miracle World DX,Switch,64.0,7.0,action,"June 22, 2021"
Alex Kidd in Miracle World DX,PlayStation 5,67.0,,action,"June 22, 2021"
LEGO Builder's Journey,PC,79.0,6.8,action,"June 22, 2021"
Super Magbot,Switch,73.0,tbd,action,"June 22, 2021"
LEGO Builder's Journey,Switch,76.0,tbd,action,"June 22, 2021"
Metro Exodus: Complete Edition,Xbox Series X,81.0,7.0,action,"June 18, 2021"
Metro Exodus: Complete Edition,PlayStation 5,81.0,7.3,action,"June 18, 2021"
Hyrule Warriors: Age of Calamity - Pulse of the Ancients,Switch,67.0,tbd,action,"June 18, 2021"
Red Solstice 2: Survivors,PC,64.0,tbd,action,"June 17, 2021"
DOOM Eternal: The Ancient Gods Part One,Switch,79.0,tbd,action,"June 15, 2021"
Mushihimesama,Switch,84.0,tbd,action,"June 15, 2021"
Ratchet & Clank: Rift Apart,PlayStation 5,88.0,,action,"June 11, 2021"
Guilty Gear -Strive-,PC,85.0,,action,"June 11, 2021"
A Rogue Escape,PC,73.0,tbd,action,"June 10, 2021"
Chivalry II,PC,82.0,6.2,action,"June 8, 2021"
Chivalry II,PlayStation 4,66.0,6.0,action,"June 8, 2021"
Chivalry II,Xbox Series X,81.0,6.7,action,"June 8, 2021"
Guilty Gear -Strive-,PlayStation 4,84.0,,action,"June 8, 2021"
Guilty Gear -Strive-,PlayStation 5,87.0,,action,"June 8, 2021"
Mighty Goose,Switch,74.0,7.2,action,"June 5, 2021"
Mighty Goose,PC,71.0,tbd,action,"June 5, 2021"
Sniper Ghost Warrior Contracts 2,PlayStation 4,68.0,7.0,action,"June 4, 2021"
Sniper Ghost Warrior Contracts 2,PC,72.0,7.3,action,"June 4, 2021"
Sniper Ghost Warrior Contracts 2,Xbox Series X,74.0,,action,"June 4, 2021"
Sunblaze,PC,78.0,tbd,action,"June 3, 2021"
Ghosts 'n Goblins Resurrection,PlayStation 4,68.0,6.8,action,"June 1, 2021"
Ghosts 'n Goblins Resurrection,Xbox One,84.0,tbd,action,"June 1, 2021"
Virtua Fighter 5 Ultimate Showdown,PlayStation 4,78.0,6.6,action,"June 1, 2021"
Wonder Boy: Asha in Monster World,Switch,66.0,5.5,action,"May 28, 2021"
Wonder Boy: Asha in Monster World,PlayStation 4,67.0,,action,"May 28, 2021"
Earth Defense Force: World Brothers,PlayStation 4,75.0,tbd,action,"May 27, 2021"
Earth Defense Force: World Brothers,Switch,71.0,tbd,action,"May 27, 2021"
Super Bomberman R Online,PlayStation 4,67.0,tbd,action,"May 27, 2021"
Super Bomberman R Online,Switch,61.0,tbd,action,"May 27, 2021"
Earth Defense Force: World Brothers,PC,78.0,tbd,action,"May 27, 2021"
Miitopia,Switch,71.0,,action,"May 21, 2021"
Knockout City,Switch,83.0,6.3,action,"May 21, 2021"
Knockout City,PC,80.0,6.6,action,"May 21, 2021"
Knockout City,Xbox One,83.0,7.0,action,"May 21, 2021"
Knockout City,PlayStation 4,80.0,6.9,action,"May 21, 2021"
Jay and Silent Bob: Mall Brawl,Xbox One,68.0,tbd,action,"May 20, 2021"
Aerial_Knight's Never Yield,PC,74.0,tbd,action,"May 19, 2021"
Aerial_Knight's Never Yield,Switch,65.0,tbd,action,"May 19, 2021"
Essays on Empathy,PC,80.0,tbd,action,"May 18, 2021"
Flowing Lights,Xbox One,70.0,tbd,action,"May 7, 2021"
Metro Exodus: Complete Edition,PC,85.0,,action,"May 6, 2021"
Raiden IV x Mikado Remix,Switch,87.0,tbd,action,"May 6, 2021"
Save me Mr Tako: Definitive Edition,Switch,77.0,tbd,action,"May 5, 2021"
R-Type Final 2,PlayStation 4,73.0,6.1,action,"April 30, 2021"
Returnal,PlayStation 5,85.0,7.2,action,"April 30, 2021"
New Pokemon Snap,Switch,79.0,7.0,action,"April 30, 2021"
R-Type Final 2,Switch,69.0,,action,"April 30, 2021"
R-Type Final 2,Xbox Series X,78.0,5.4,action,"April 30, 2021"
Terminator: Resistance Enhanced,PlayStation 5,61.0,6.9,action,"April 30, 2021"
Star Wars Pinball VR,PlayStation 4,81.0,tbd,action,"April 29, 2021"
Star Wars Pinball VR,PC,81.0,tbd,action,"April 29, 2021"
Chivalry II,PlayStation 5,86.0,6.1,action,"April 23, 2021"
Shantae,Switch,73.0,,action,"April 22, 2021"
ScourgeBringer,PlayStation 4,81.0,tbd,action,"April 22, 2021"
World Splitter,PC,76.0,tbd,action,"April 21, 2021"
World Splitter,PlayStation 4,76.0,tbd,action,"April 21, 2021"
Silicon Dreams,PC,81.0,tbd,action,"April 20, 2021"
Quantum League,PC,70.0,tbd,action,"April 15, 2021"
Godstrike,PC,66.0,tbd,action,"April 15, 2021"
Stitchy in Tooki Trouble,Switch,59.0,tbd,action,"April 15, 2021"
Rain on Your Parade,Switch,78.0,tbd,action,"April 15, 2021"
Godstrike,Switch,59.0,tbd,action,"April 15, 2021"
Rain on Your Parade,Xbox One,78.0,,action,"April 15, 2021"
Fez,Switch,88.0,6.9,action,"April 14, 2021"
Toree 3D,Switch,67.0,,action,"April 9, 2021"
In My Shadow,PC,63.0,tbd,action,"April 8, 2021"
ASTRO AQUA KITTY,Switch,80.0,tbd,action,"April 8, 2021"
Pac-Man 99,Switch,76.0,,action,"April 7, 2021"
Lost Words: Beyond the Page,PC,74.0,,action,"April 6, 2021"
Lost Words: Beyond the Page,Xbox One,80.0,tbd,action,"April 6, 2021"
Lost Words: Beyond the Page,PlayStation 4,74.0,,action,"April 6, 2021"
Lost Words: Beyond the Page,Switch,79.0,tbd,action,"April 6, 2021"
Star Wars: Republic Commando,PlayStation 4,58.0,6.4,action,"April 6, 2021"
Star Wars: Republic Commando,Switch,69.0,,action,"April 6, 2021"
World of Demons,"iOS
                                                                                     (Apple Arcade)",76.0,6.6,action,"April 2, 2021"
Taiko no Tatsujin Pop Tap Beat,"iOS
                                                                                     (Apple Arcade)",76.0,tbd,action,"April 2, 2021"
Totally Reliable Delivery Service,PC,64.0,,action,"April 1, 2021"
Outriders,PlayStation 4,72.0,,action,"April 1, 2021"
Outriders,PC,73.0,5.7,action,"April 1, 2021"
Outriders,PlayStation 5,74.0,5.8,action,"April 1, 2021"
Outriders,Xbox Series X,73.0,7.1,action,"April 1, 2021"
UnderMine,PlayStation 4,78.0,tbd,action,"March 30, 2021"
DOOM 3: VR Edition,PlayStation 4,67.0,7.2,action,"March 29, 2021"
Kaze and the Wild Masks,PC,82.0,,action,"March 26, 2021"
Kaze and the Wild Masks,Switch,79.0,,action,"March 26, 2021"
Kaze and the Wild Masks,PlayStation 4,77.0,7.3,action,"March 26, 2021"
Kaze and the Wild Masks,Xbox One,83.0,,action,"March 26, 2021"
Balan Wonderworld,Xbox Series X,,7.2,action,"March 26, 2021"
Balan Wonderworld,PlayStation 5,51.0,5.5,action,"March 26, 2021"
Balan Wonderworld,PC,,6.7,action,"March 26, 2021"
Balan Wonderworld,Switch,,,action,"March 26, 2021"
Balan Wonderworld,PlayStation 4,,6.4,action,"March 26, 2021"
Crash Bandicoot 4: It's About Time,PC,83.0,,action,"March 26, 2021"
Bladed Fury,Xbox One,72.0,tbd,action,"March 25, 2021"
Bladed Fury,Switch,69.0,tbd,action,"March 25, 2021"
Crash Bandicoot: On the Run!,iOS,59.0,5.2,action,"March 25, 2021"
Get-A-Grip Chip,Switch,78.0,tbd,action,"March 25, 2021"
Barrage Fantasia,Switch,66.0,tbd,action,"March 25, 2021"
Plants vs. Zombies: Battle for Neighborville - Complete Edition,Switch,74.0,7.3,action,"March 19, 2021"
Magic Twins,Switch,74.0,,action,"March 18, 2021"
Marvel's Avengers,PlayStation 5,73.0,6.9,action,"March 18, 2021"
DOOM Eternal: The Ancient Gods Part Two,Xbox One,77.0,,action,"March 18, 2021"
DOOM Eternal: The Ancient Gods Part Two,PC,77.0,6.2,action,"March 18, 2021"
DOOM Eternal: The Ancient Gods Part Two,PlayStation 4,78.0,6.0,action,"March 18, 2021"
Samurai Shodown: Special Edition,Xbox Series X,78.0,tbd,action,"March 16, 2021"
COLLAPSED,PlayStation 4,60.0,tbd,action,"March 13, 2021"
Crash Bandicoot 4: It's About Time,Xbox Series X,86.0,7.0,action,"March 12, 2021"
Crash Bandicoot 4: It's About Time,Switch,80.0,,action,"March 12, 2021"
Crash Bandicoot 4: It's About Time,PlayStation 5,86.0,,action,"March 12, 2021"
Apex Legends,Switch,54.0,5.1,action,"March 9, 2021"
POSTAL Redux,PlayStation 4,58.0,tbd,action,"March 5, 2021"
Mail Mole,Switch,72.0,6.4,action,"March 4, 2021"
The Climb 2,PC,75.0,tbd,action,"March 4, 2021"
Mail Mole,PlayStation 4,78.0,tbd,action,"March 4, 2021"
Sir Lovelot,Switch,66.0,tbd,action,"March 3, 2021"
PAKO Caravan,Switch,76.0,tbd,action,"March 2, 2021"
Foregone,PC,73.0,5.7,action,"March 1, 2021"
PixelJunk Raiders,Stadia,,7.1,action,"March 1, 2021"
Ghosts 'n Goblins Resurrection,Switch,75.0,6.8,action,"February 25, 2021"
Yupitergrad,PlayStation 4,74.0,7.0,action,"February 25, 2021"
Mighty Fight Federation,PlayStation 5,69.0,tbd,action,"February 25, 2021"
Pumpkin Jack,PlayStation 4,76.0,7.1,action,"February 24, 2021"
Thomas Was Alone,Switch,79.0,tbd,action,"February 19, 2021"
PUSS!,PlayStation 4,68.0,tbd,action,"February 19, 2021"
PUSS!,Xbox One,77.0,tbd,action,"February 19, 2021"
PUSS!,Switch,64.0,,action,"February 19, 2021"
Effie,Xbox One,67.0,tbd,action,"February 19, 2021"
Nerve,PC,67.0,tbd,action,"February 18, 2021"
Speed Limit,Switch,68.0,tbd,action,"February 18, 2021"
Natsuki Chronicles,PlayStation 4,80.0,tbd,action,"February 18, 2021"
Anodyne 2: Return to Dust,PlayStation 5,75.0,tbd,action,"February 18, 2021"
Anodyne 2: Return to Dust,Switch,77.0,tbd,action,"February 18, 2021"
SNK vs. Capcom: Match of the Millennium,Switch,78.0,,action,"February 17, 2021"
Azur Lane: Crosswave,Switch,63.0,tbd,action,"February 16, 2021"
Speed Limit,PlayStation 4,73.0,tbd,action,"February 16, 2021"
Super Mario 3D World + Bowser's Fury,Switch,89.0,,action,"February 12, 2021"
Gal*Gun Returns,Switch,68.0,tbd,action,"February 12, 2021"
UnderMine,Switch,83.0,,action,"February 11, 2021"
Blue Fire,Switch,71.0,7.4,action,"February 4, 2021"
Blue Fire,PC,70.0,,action,"February 4, 2021"
Habroxia 2,Switch,71.0,tbd,action,"February 3, 2021"
Habroxia 2,PlayStation 4,76.0,6.8,action,"February 3, 2021"
Glyph,Switch,70.0,,action,"February 1, 2021"
Bonkies,PC,76.0,tbd,action,"January 29, 2021"
Bonkies,Xbox One,76.0,tbd,action,"January 29, 2021"
Bonkies,PlayStation 4,76.0,tbd,action,"January 29, 2021"
The Pedestrian,PlayStation 5,83.0,7.1,action,"January 29, 2021"
Olija,PC,77.0,6.1,action,"January 28, 2021"
Olija,Switch,78.0,,action,"January 28, 2021"
Olija,PlayStation 4,78.0,tbd,action,"January 28, 2021"
Colossus Down,Switch,59.0,tbd,action,"January 28, 2021"
Olija,Xbox One,79.0,tbd,action,"January 28, 2021"
Metal Unit,PC,64.0,tbd,action,"January 27, 2021"
Cyber Shadow,PC,81.0,7.0,action,"January 26, 2021"
Cyber Shadow,Switch,82.0,7.4,action,"January 26, 2021"
Cyber Shadow,PlayStation 4,78.0,7.1,action,"January 26, 2021"
Cyber Shadow,Xbox One,81.0,7.2,action,"January 26, 2021"
Dead Cells: Fatal Falls,Switch,84.0,tbd,action,"January 26, 2021"
Cyber Shadow,PlayStation 5,77.0,6.7,action,"January 26, 2021"
Skul: The Hero Slayer,PC,80.0,6.6,action,"January 21, 2021"
Tadpole Treble Encore,Switch,82.0,,action,"January 21, 2021"
WRITHE,Switch,60.0,,action,"January 15, 2021"
Scott Pilgrim vs. the World: The Game - Complete Edition,PlayStation 4,75.0,6.3,action,"January 14, 2021"
Scott Pilgrim vs. the World: The Game - Complete Edition,Xbox One,78.0,6.7,action,"January 14, 2021"
Scott Pilgrim vs. the World: The Game - Complete Edition,Switch,79.0,7.4,action,"January 14, 2021"
Scott Pilgrim vs. the World: The Game - Complete Edition,PC,75.0,5.3,action,"January 14, 2021"
Rhythm Fighter,Switch,72.0,tbd,action,"January 14, 2021"
Windfolk: Sky is just the beginning,PlayStation 4,51.0,tbd,action,"January 13, 2021"
Professor Lupo: Ocean,Switch,66.0,tbd,action,"December 28, 2020"
The Hong Kong Massacre,Switch,56.0,tbd,action,"December 26, 2020"
Omori,PC,87.0,,action,"December 25, 2020"
Bit.Trip Beat,Switch,73.0,tbd,action,"December 25, 2020"
Bit.Trip Flux,Switch,80.0,tbd,action,"December 25, 2020"
Bit.Trip Fate,Switch,66.0,tbd,action,"December 25, 2020"
Bit.Trip Runner,Switch,78.0,tbd,action,"December 25, 2020"
Bit.Trip Core,Switch,76.0,tbd,action,"December 25, 2020"
Bit.Trip Void,Switch,74.0,tbd,action,"December 25, 2020"
Super Meat Boy Forever,Switch,66.0,5.2,action,"December 23, 2020"
Super Meat Boy Forever,PC,70.0,,action,"December 23, 2020"
Fatal Fury: First Contact,Switch,62.0,tbd,action,"December 23, 2020"
Override 2: Super Mech League,PlayStation 4,52.0,tbd,action,"December 22, 2020"
Override 2: Super Mech League,PC,61.0,tbd,action,"December 22, 2020"
Override 2: Super Mech League,PlayStation 5,63.0,tbd,action,"December 22, 2020"
Override 2: Super Mech League,Xbox Series X,58.0,tbd,action,"December 22, 2020"
Traffix,Switch,82.0,tbd,action,"December 21, 2020"
Double Dragon: Neon,Switch,76.0,tbd,action,"December 21, 2020"
SYNTHETIK: Ultimate,Switch,71.0,tbd,action,"December 16, 2020"
SYNTHETIK: Ultimate,Xbox One,72.0,tbd,action,"December 16, 2020"
Colossus Down,Xbox One,71.0,tbd,action,"December 16, 2020"
Gears 5: Hivebusters,Xbox One,82.0,,action,"December 15, 2020"
Gears 5: Hivebusters,Xbox Series X,82.0,,action,"December 15, 2020"
Football Manager 2021 Touch,Switch,73.0,,action,"December 14, 2020"
